timestamp,gas,rawAdc,deviceId,label,scenario
2025-11-24 06:52:35.193,15.01,189,esp8266-gas-01,0,normal_real
2025-11-24 06:52:37.123,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:52:38.868,15.38,192,esp8266-gas-01,0,normal_real
2025-11-24 06:52:40.759,15.38,192,esp8266-gas-01,0,normal_real
2025-11-24 06:52:42.492,15.38,192,esp8266-gas-01,0,normal_real
2025-11-24 06:52:44.205,15.38,192,esp8266-gas-01,0,normal_real
2025-11-24 06:52:46.162,15.38,192,esp8266-gas-01,0,normal_real
2025-11-24 06:52:47.947,15.5,193,esp8266-gas-01,0,normal_real
2025-11-24 06:52:49.689,15.38,192,esp8266-gas-01,0,normal_real
2025-11-24 06:52:51.457,15.62,194,esp8266-gas-01,0,normal_real
2025-11-24 06:52:53.156,15.38,192,esp8266-gas-01,0,normal_real
2025-11-24 06:52:54.921,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:52:56.709,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:52:58.421,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:00.135,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:01.983,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:03.864,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:05.647,15.74,195,esp8266-gas-01,1,normal_real
2025-11-24 06:53:07.385,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:09.089,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:10.743,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:12.530,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:14.210,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:15.935,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:17.797,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:19.513,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:21.819,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:23.728,15.86,196,esp8266-gas-01,0,normal_real
2025-11-24 06:53:25.701,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:27.682,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:29.635,15.86,196,esp8266-gas-01,0,normal_real
2025-11-24 06:53:31.748,15.86,196,esp8266-gas-01,0,normal_real
2025-11-24 06:53:34.555,15.86,196,esp8266-gas-01,0,normal_real
2025-11-24 06:53:36.298,15.86,196,esp8266-gas-01,0,normal_real
2025-11-24 06:53:38.057,15.74,195,esp8266-gas-01,0,normal_real
2025-11-24 06:53:39.886,15.86,196,esp8266-gas-01,0,normal_real
2025-11-24 06:53:41.752,15.86,196,esp8266-gas-01,0,normal_real
2025-11-24 06:53:43.566,15.86,196,esp8266-gas-01,0,normal_real
2025-11-24 06:53:45.318,15.86,196,esp8266-gas-01,0,normal_real
